34	1441.26	5860.3103	10177.4
34	1563.17	5872.6028	220.3
35	70.38	5558.702	135.9
35	144.91	5567.9986	76.9
35	222.75	5577.6845	3943.3
35	236.35	5579.3583	4028.1
35	462.58	5606.733	89496.4
35	535.27	5615.3195	16082.9
35	844.32	5650.7043	40352.9
35	909.43	5657.9255	2950.1
35	920.33	5659.1272	6211.7
35	975.7	5665.1799	6888.8
35	1085.63	5677.0529	2943.3
35	1131.18	5681.9001	6309.2
35	1374.57	5707.1033	1718.0
35	1505.39	5720.1828	16856.7
35	1558.55	5725.3885	1394.0
36	639.12	5490.1194	2173.4
36	766.28	5504.3018	4338.5
36	782.67	5506.1128	15511.1
36	818.05	5509.9938	5669.2
36	903.04	5519.2353	2221.0
36	956.32	5524.957	7103.9
36	1092.15	5539.2618	10959.8
36	1110.1	5541.1466	1436.0
36	1127.03	5542.89	2092.7
36	1148.05	5545.0495	1459.6
36	1178.43	5548.1758	4607.0
36	1407.86	5571.1913	2021.9
36	1474.38	5577.6845	2671.0
37	104.12	5297.7431	45.9
37	185.27	5307.4655	155.3
37	596.13	5354.6016	960.3
37	857.08	5382.9276	1127.8
37	891.81	5386.6107	5517.5
37	996.22	5397.516	3722.1
37	1045.56	5402.6048	3613.2
37	1172.94	5415.5226	1581.6
37	1192.59	5417.4858	8157.7
37	1258.4	5424.0079	1188.5
37	1275.23	5425.6783	775.7
37	1380.07	5435.8925	396.6
38	370.48	5205.1522	529.5
38	495.93	5219.1099	3252.4
38	579.34	5228.2246	745.0
38	684.2	5239.552	2194.1
38	825.5	5254.4648	3549.4
38	863.04	5258.3602	9311.7
38	879.67	5260.1041	1783.3
38	974.34	5269.7927	1149.2
38	1017.24	5274.1188	1792.2
38	1092.19	5281.6285	2192.3
38	1466.35	5317.4944	645.4
39	62.32	5051.8887	23.9
39	473.49	5098.0432	482.3
39	497.18	5100.6211	2296.5
39	761.98	5128.4897	982.7
39	822.88	5134.746	1827.6
39	849.52	5137.4733	914.5
39	892.36	5141.7827	32729.4
39	913.26	5143.9165	1966.9
39	927.49	5145.3083	18136.6
39	1181.77	5170.2227	407.6
39	1328.46	5183.9896	269.8
39	1369.0	5187.7462	10371.3
39	1457.36	5195.8136	1028.4
39	1494.53	5199.1637	1792.1
40	16.06	4934.3306	20.5
40	156.0	4950.2513	45.2
40	559.38	4993.7488	637.2
40	788.41	5017.1628	51478.0
